term	gene
K00685	NP_008972.2
K14529	NP_008973.1
K06961	NP_008974.5
K07767	NP_008975.1
K16546	NP_008976.1
K06712	NP_008978.2
K12015	NP_008978.2
K17270	NP_008978.2
K06712	NP_008979.3
K12015	NP_008979.3
K17270	NP_008979.3
K05693	NP_008981.4
K06776	NP_008981.4
K13297	NP_008981.4
K20703	NP_008982.1
K08008	NP_008983.2
K21421	NP_008983.2
K21422	NP_008983.2
K21423	NP_008983.2
K06542	NP_008984.1
K10394	NP_008985.3
K20198	NP_008985.3
K03018	NP_008986.2
K13168	NP_008987.2
K19943	NP_008988.2
K08580	NP_008989.2
K14791	NP_008993.1
K09554	NP_008996.1
K11307	NP_008998.1
K10872	NP_008999.2
K19347	NP_008999.2
K16817	NP_009000.2
K06745	NP_009003.1
K06746	NP_009003.1
K21108	NP_009004.2
K13882	NP_009005.1
K13886	NP_009005.1
K12403	NP_009008.2
K19867	NP_009009.1
K12625	NP_009011.1
K07931	NP_009012.1
K07931	NP_009013.1
K09267	NP_009015.1
K16796	NP_009015.1
K11274	NP_009017.1
K02129	NP_009031.1
K00314	NP_009032.2
K03942	NP_009034.2
K02865	NP_009035.3
K13251	NP_009038.1
K03873	NP_009039.1
K04683	NP_009042.1
K09392	NP_009042.1
K09393	NP_009042.1
K09394	NP_009042.1
K04659	NP_009043.1
K16857	NP_009043.1
K10384	NP_009044.2
K18626	NP_009044.2
K20286	NP_009045.2
K19018	NP_009046.2
K05253	NP_009048.1
K08810	NP_009049.2
K15048	NP_009049.2
K20690	NP_009049.2
K00699	NP_009051.1
K04628	NP_009051.1
K08535	NP_009052.4
K08536	NP_009052.4
K14034	NP_009052.4
K09106	NP_009053.1
K05635	NP_009054.6
K19636	NP_009054.6
K10366	NP_009055.2
K11447	NP_009056.3
K13525	NP_009057.1
K05761	NP_009058.2
K05768	NP_009058.2
K08017	NP_009058.2
K06553	NP_009059.1
K06235	NP_009060.2
K09224	NP_009060.2
K09225	NP_009060.2
K09226	NP_009060.2
K09227	NP_009060.2
K09228	NP_009061.1
K09229	NP_009062.2
K09214	NP_009066.2
K09228	NP_009066.2
K09228	NP_009068.2
K09228	NP_009069.1
K09228	NP_009078.1
K09228	NP_009080.2
K09228	NP_009083.2
K19928	NP_009086.4
K15590	NP_009093.1
K08716	NP_009094.3
K12826	NP_009096.2
K20043	NP_009097.2
K20044	NP_009097.2
K20241	NP_009097.2
K05649	NP_009099.1
K05650	NP_009099.1
K05651	NP_009099.1
K05652	NP_009099.1
K00551	NP_009100.2
K08287	NP_009101.2
K08841	NP_009101.2
K08842	NP_009101.2
K00728	NP_009102.4
K14295	NP_009103.2
K09627	NP_009104.3
K16308	NP_009105.1
K13137	NP_009109.3
K05255	NP_009110.2
K01194	NP_009111.2
K08015	NP_009113.3
K09850	NP_009113.3
K13207	NP_009116.3
K16464	NP_009117.2
K13220	NP_009118.1
K05655	NP_009119.2
K06185	NP_009120.1
K16545	NP_009121.1
K01691	NP_009122.2
K17097	NP_009124.2
K06641	NP_009125.1
K03510	NP_009126.2
K01312	NP_009127.1
K08650	NP_009127.1
K09620	NP_009127.1
K09622	NP_009127.1
K02842	NP_009128.1
K06997	NP_009129.1
K04732	NP_009130.2
K16526	NP_009133.2
K16519	NP_009134.1
K13131	NP_009135.4
K20216	NP_009138.1
K02906	NP_009139.1
K02918	NP_009140.1
K00710	NP_009141.2
K09855	NP_009142.2
K10695	NP_009143.1
K09540	NP_009145.1
K02333	NP_009146.2
K18269	NP_009148.2
K15699	NP_009150.1
K01672	NP_009151.1
K11546	NP_009152.2
K08442	NP_009154.1
K16657	NP_009155.1
K16658	NP_009156.2
K16657	NP_009157.1
K04321	NP_009158.3
K08409	NP_009158.3
K20123	NP_009160.2
K05038	NP_009162.1
K04151	NP_009163.2
K10425	NP_009165.1
K14288	NP_009166.2
K17610	NP_009167.1
K15413	NP_009168.4
K13350	NP_009169.3
K14819	NP_009171.1
K12188	NP_009172.2
K18655	NP_009173.1
K18656	NP_009173.1
K10443	NP_009177.3
K10457	NP_009177.3
K10790	NP_009179.2
K10791	NP_009179.2
K09205	NP_009180.3
K09212	NP_009180.3
K09204	NP_009181.2
K09205	NP_009181.2
K09368	NP_009183.3
K00490	NP_009184.1
K07426	NP_009184.1
K15001	NP_009184.1
K17687	NP_009184.1
K17688	NP_009184.1
K17726	NP_009184.1
K17728	NP_009184.1
K17729	NP_009184.1
K17730	NP_009184.1
K17731	NP_009184.1
K08073	NP_009185.2
K00733	NP_009186.1
K14345	NP_009187.1
K14352	NP_009187.1
K14356	NP_009187.1
K12479	NP_009190.2
K06130	NP_009191.1
K05687	NP_009193.2
K17268	NP_009194.2
K04242	NP_009195.1
K06883	NP_009197.3
K21988	NP_009198.4
K19822	NP_009199.1
K15301	NP_009200.2
K09575	NP_009201.2
K09577	NP_009201.2
K08790	NP_009202.1
K01311	NP_009203.2
K01346	NP_009203.2
K09632	NP_009203.2
K20751	NP_009203.2
K17360	NP_009205.3
K11586	NP_009207.2
K11587	NP_009207.2
K06110	NP_009208.2
K08341	NP_009209.1
K12837	NP_009210.1
K11565	NP_009211.1
K15692	NP_009213.1
K01054	NP_009214.1
K08870	NP_009215.1
K10161	NP_009215.1
K14962	NP_009215.1
K08341	NP_009216.1
K21112	NP_009217.3
K10605	NP_009225.1
K11220	NP_009330.1
K11224	NP_009330.1
K02988	NP_015556.1
K10403	NP_015556.1
K07117	NP_015627.1
K11424	NP_015627.1
K11425	NP_015627.1
K15588	NP_015627.1
K04984	NP_015628.2
K22384	NP_031367.2
K14321	NP_031368.1
K18716	NP_031368.1
K15225	NP_031370.2
K21625	NP_031370.2
K12400	NP_031373.2
K09054	NP_031374.2
K14972	NP_031375.3
K01345	NP_031378.1
K01346	NP_031378.1
K20752	NP_031378.1
K04346	NP_031379.2
K04639	NP_031379.2
K04079	NP_031381.2
K06245	NP_031382.2
K20289	NP_031383.1
K11485	NP_031384.1
K11486	NP_031384.1
K14323	NP_031385.2
K06728	NP_031386.2
K10069	NP_031386.2
K17515	NP_031386.2
K17516	NP_031386.2
K06826	NP_031387.3
K12883	NP_031388.2
K13214	NP_031389.3
K13219	NP_031389.3
K20350	NP_031390.1
K06560	NP_031392.3
K12884	NP_031393.2
K12895	NP_031393.2
K07915	NP_031396.1
K10756	NP_031396.1
K08871	NP_031397.1
K11721	NP_031397.1
K11722	NP_031397.1
K11724	NP_031397.1
K14568	NP_031397.1
K12835	NP_031398.2
K19613	NP_031399.2
K19473	NP_031400.2
K09863	NP_036196.1
K09866	NP_036196.1
K15303	NP_036199.2
K04374	NP_036200.2
K09044	NP_036200.2
K01540	NP_036201.1
K11459	NP_036203.1
K03907	NP_036204.2
K06702	NP_036204.2
K09497	NP_036205.1
K13196	NP_036206.3
K22198	NP_036206.3
K17623	NP_036212.3
K15183	NP_036213.2
K17442	NP_036214.2
K03096	NP_036215.1
K15201	NP_036218.1
K15202	NP_036219.2
K01057	NP_036220.1
K02021	NP_036221.2
K05657	NP_036221.2
K19762	NP_036221.2
K10382	NP_036222.3
K10388	NP_036222.3
K19827	NP_036222.3
K15440	NP_036223.2
K06713	NP_036224.1
K00939	NP_036225.2
K13800	NP_036225.2
K11187	NP_036226.2
K12398	NP_036227.1
K08733	NP_036228.1
K20132	NP_036228.1
K07949	NP_036229.1
K07950	NP_036229.1
K01267	NP_036232.2
K12010	NP_036233.2
K05628	NP_036234.3
K04521	NP_036236.1
K07747	NP_036236.1
K04521	NP_036237.2
K07747	NP_036237.2
K16742	NP_036238.1
K16812	NP_036244.2
K01672	NP_036245.1
K01674	NP_036245.1
K04401	NP_036246.1
K04707	NP_036248.3
K11587	NP_036249.1
K18764	NP_036250.2
K08817	NP_036251.2
K10267	NP_036251.2
K18086	NP_036251.2
K13738	NP_036252.1
K03495	NP_036255.2
K04129	NP_036257.1
K04131	NP_036257.1
K04133	NP_036257.1
K05027	NP_036260.2
K05030	NP_036260.2
K06087	NP_036262.1
K06087	NP_036263.1
K17267	NP_036265.3
K22030	NP_036266.2
K13119	NP_036267.1
K01482	NP_036269.1
K15421	NP_036271.1
K13577	NP_036272.2
K13143	NP_036273.1
K13180	NP_036273.1
K21626	NP_036274.3
K13103	NP_036275.1
K10409	NP_036276.1
K00943	NP_036277.2
K20135	NP_036283.2
K04294	NP_036284.1
K09429	NP_036285.2
K17102	NP_036285.2
K11593	NP_036286.2
K18595	NP_036287.1
K06107	NP_036288.2
K10268	NP_036289.3
K10269	NP_036290.1
K10287	NP_036290.1
K10270	NP_036292.2
K10271	NP_036293.1
K10261	NP_036296.2
K10296	NP_036298.2
K10099	NP_036300.2
K10302	NP_036302.1
K10303	NP_036303.1
K17345	NP_036303.1
K10304	NP_036304.2
K10305	NP_036305.2
K10264	NP_036306.1
K10290	NP_036307.2
K10291	NP_036308.1
K10292	NP_036309.1
K10293	NP_036311.3
K10294	NP_036312.2
K09574	NP_036313.3
K09395	NP_036314.2
K09411	NP_036314.2
K09397	NP_036315.1
K09397	NP_036316.1
K09397	NP_036318.1
K09398	NP_036318.1
K09401	NP_036320.2
K00289	NP_036322.2
K17779	NP_036324.1
K02354	NP_036325.2
K08407	NP_036329.3
K20284	NP_036329.3
K11593	NP_036331.1
K00735	NP_036332.2
K10158	NP_036332.2
K13168	NP_036332.2
K06816	NP_036333.2
K04540	NP_036334.1
K00049	NP_036335.1
K13403	NP_036335.1
K11310	NP_036336.2
K00452	NP_036337.2
K20413	NP_036338.2
K20414	NP_036338.2
K12898	NP_036339.1
K01892	NP_036340.1
K10607	NP_036342.2
K13948	NP_036344.2
K01578	NP_036345.2
K00738	NP_036346.1
K15719	NP_036347.1
K08285	NP_036348.2
K10647	NP_036348.2
K01340	NP_036349.1
K09633	NP_036349.1
K07831	NP_036351.3
K03575	NP_036354.1
K10356	NP_036355.2
K08857	NP_036356.1
K20877	NP_036356.1
K05216	NP_036358.2
K07305	NP_036360.3
K01081	NP_036361.1
K11432	NP_036363.2
K19387	NP_036364.2
K18270	NP_036365.1
K11461	NP_036368.1
K11465	NP_036368.1
K11411	NP_036370.2
K11412	NP_036371.1
K11413	NP_036371.1
K11414	NP_036372.1
K11415	NP_036373.1
K02165	NP_036374.1
K15272	NP_036375.1
K13780	NP_036376.2
K13781	NP_036376.2
K13782	NP_036376.2
K06063	NP_036377.1
K01008	NP_036379.2
K01008	NP_036380.2
K04393	NP_036381.2
K07194	NP_036381.2
K07864	NP_036381.2
K07830	NP_036382.2
K15591	NP_036384.1
K00615	NP_036385.3
K08746	NP_036386.1
K08748	NP_036386.1
K08749	NP_036386.1
K12619	NP_036387.2
K09228	NP_036388.2
K09091	NP_036390.3
K09091	NP_036391.1
K12261	NP_036392.2
K02513	NP_036394.1
K16599	NP_036395.1
K01414	NP_036396.2
K09507	NP_036398.3
K09510	NP_036398.3
K09511	NP_036398.3
K09562	NP_036399.3
K16860	NP_036400.2
K18160	NP_036400.2
K01197	NP_036401.2
K12821	NP_036404.1
K05483	NP_036407.1
K16735	NP_036410.1
K02427	NP_036412.1
K14864	NP_036412.1
K04891	NP_036413.1
K04892	NP_036413.1
K04893	NP_036413.1
K04895	NP_036414.1
K04901	NP_036415.1
K04906	NP_036416.1
K04907	NP_036416.1
K04911	NP_036416.1
K04906	NP_036417.1
K04907	NP_036417.1
K04911	NP_036417.1
K11342	NP_036418.1
K12489	NP_036419.3
K10456	NP_036421.2
K08864	NP_036422.3
K20644	NP_036424.2
K19511	NP_036425.1
K08019	NP_036426.4
K17613	NP_036427.1
K08091	NP_036428.1
K17265	NP_036429.2
K03362	NP_036432.2
K05629	NP_036433.2
K05631	NP_036433.2
K06112	NP_036433.2
K04592	NP_036434.1
K04593	NP_036434.1
K04594	NP_036434.1
K10273	NP_036436.1
K06107	NP_036439.2
K10276	NP_036440.1
K15009	NP_036441.2
K10395	NP_036442.3
K13102	NP_036443.1
K01312	NP_036447.1
K09463	NP_036447.1
K09618	NP_036447.1
K09621	NP_036447.1
K09640	NP_036447.1
K17495	NP_036447.1
K20676	NP_036447.1
K15042	NP_036448.1
K15043	NP_036448.1
K17800	NP_036450.1
K14712	NP_036451.4
K14716	NP_036451.4
K06129	NP_036452.1
K12623	NP_036453.1
K12624	NP_036454.1
K09037	NP_036455.1
K04435	NP_036456.1
K10436	NP_036457.1
K10436	NP_036458.2
K05285	NP_036459.1
K06626	NP_036459.1
K09515	NP_036460.1
K11064	NP_036461.2
K10361	NP_036466.2
K12559	NP_036466.2
K10356	NP_036467.2
K17355	NP_036470.1
K17297	NP_036471.1
K04446	NP_036472.2
K17332	NP_036472.2
K06943	NP_036473.2
K10162	NP_036474.1
K00323	NP_036475.3
K04212	NP_036476.2
K14306	NP_036478.2
K10295	NP_036479.1
K04257	NP_036484.1
K04257	NP_036485.2
K04257	NP_036492.1
K04257	NP_036495.1
K04257	NP_036496.1
K04257	NP_036499.1
K04257	NP_036500.2
K04257	NP_036505.3
K04257	NP_036506.1
K04257	NP_036507.2
K04257	NP_036509.1
K04257	NP_036510.1
K02605	NP_036513.2
K15626	NP_036517.1
K20188	NP_036520.1
K09442	NP_036523.1
K01952	NP_036525.1
K09549	NP_036526.2
K08821	NP_036527.1
K15594	NP_036527.1
K13963	NP_036529.1
K13966	NP_036529.1
K00889	NP_036530.1
K01047	NP_036532.1
K06821	NP_036533.2
K20314	NP_036534.1
K18646	NP_036536.2
K18647	NP_036536.2
K00587	NP_036537.1
K12463	NP_036538.3
K21749	NP_036538.3
K18024	NP_036543.4
K11251	NP_036544.1
K21799	NP_036544.1
K00683	NP_036545.1
K19937	NP_036546.2
K06811	NP_036547.1
K10877	NP_036547.1
K16449	NP_036551.3
K14217	NP_036552.1
K02872	NP_036555.1
K20839	NP_036556.2
K12830	NP_036558.3
K09617	NP_036559.1
K06535	NP_036560.1
K08520	NP_036562.2
K06840	NP_036563.1
K11421	NP_036564.3
K12828	NP_036565.2
K08193	NP_036566.1
K12300	NP_036566.1
K12301	NP_036566.1
K06279	NP_036567.2
K17447	NP_036567.2
K17448	NP_036567.2
K17449	NP_036567.2
K20002	NP_036569.1
K10878	NP_036576.1
K13055	NP_036579.2
K11223	NP_036580.2
K11224	NP_036580.2
K14737	NP_036581.1
K14444	NP_036582.2
K05150	NP_036584.1
K14570	NP_036585.1
K05731	NP_036586.3
K16847	NP_036586.3
K12494	NP_036587.2
K17778	NP_036588.1
K17781	NP_036590.1
K17780	NP_036591.3
K17777	NP_036592.1
K02154	NP_036595.2
K19361	NP_036595.2
K05502	NP_036596.3
K08076	NP_036596.3
K09608	NP_036596.3
K13045	NP_036596.3
K13046	NP_036596.3
K13047	NP_036596.3
K05502	NP_036597.1
K08076	NP_036597.1
K09608	NP_036597.1
K13045	NP_036597.1
K13046	NP_036597.1
K13047	NP_036597.1
K17357	NP_036598.1
K09615	NP_036599.4
K12855	NP_036601.2
K15436	NP_036602.1
K04964	NP_036603.1
K04967	NP_036603.1
K04968	NP_036603.1
K13803	NP_036603.1
K19753	NP_036604.2
K03671	NP_036605.2
K00876	NP_036606.2
K21634	NP_036607.3
K09318	NP_036608.1
K16198	NP_036611.2
K09220	NP_036613.2
K06267	NP_036616.2
K06469	NP_037362.1
K16362	NP_037363.1
K08835	NP_037365.2
K03685	NP_037367.3
K19323	NP_037368.1
K09535	NP_037370.2
K09539	NP_037370.2
K19589	NP_037372.4
K13748	NP_037376.2
K12196	NP_037377.1
K05421	NP_037378.1
K08669	NP_037379.1
K08784	NP_037379.1
K14285	NP_037380.1
K09228	NP_037381.2
K09228	NP_037382.2
K09229	NP_037382.2
K05240	NP_037383.1
K10073	NP_037384.1
K05410	NP_037386.1
K07211	NP_037386.1
K09228	NP_037388.3
K13302	NP_037389.4
K13303	NP_037389.4
K13304	NP_037389.4
K12799	NP_037390.2
K20526	NP_037391.2
K07202	NP_037393.1
K10637	NP_037394.2
K11723	NP_037395.2
K22184	NP_037395.2
K18655	NP_037396.3
K18656	NP_037396.3
K20296	NP_037397.2
K05691	NP_037398.2
K01425	NP_037399.2
K10096	NP_037400.1
K10097	NP_037400.1
K13334	NP_037400.1
K06468	NP_037401.1
K10071	NP_037401.1
K10072	NP_037401.1
K14353	NP_037404.2
K14356	NP_037404.2
K03512	NP_037406.1
K21436	NP_037407.4
K11214	NP_037408.2
K16733	NP_037409.2
K05491	NP_037410.1
K16362	NP_037412.2
K16362	NP_037413.1
K10638	NP_037414.3
K15713	NP_037414.3
K00789	NP_037415.1
K00977	NP_037416.1
K03513	NP_037416.1
K14537	NP_037417.1
K13190	NP_037418.3
K06695	NP_037422.2
K12758	NP_037424.2
K12897	NP_037425.1
K15837	NP_037428.3
K15839	NP_037428.3
K16734	NP_037431.3
K20027	NP_037436.1
K03369	NP_037437.2
K17927	NP_037438.2
K20839	NP_037438.2
K08441	NP_037440.3
K14689	NP_037441.2
K14691	NP_037441.2
K16611	NP_037444.2
K07371	NP_037446.1
K10643	NP_037448.2
K20824	NP_037451.1
K14966	NP_037452.1
K17922	NP_037453.1
K17924	NP_037454.2
K17924	NP_037455.2
K04701	NP_037456.5
K08342	NP_037457.3
K06275	NP_037459.2
K00286	NP_037460.2
K00940	NP_037462.1
K12471	NP_037465.2
K00966	NP_037466.3
K00966	NP_037467.2
K10956	NP_037468.1
K00729	NP_037470.1
K03027	NP_037470.1
K03848	NP_037471.2
K19788	NP_037473.3
K08426	NP_037477.1
K17918	NP_037478.2
K10741	NP_037479.1
K05007	NP_037480.1
K10166	NP_037483.1
K10173	NP_037483.1
K10174	NP_037483.1
K01794	NP_037484.1
K10370	NP_037485.2
K12581	NP_037486.2
K06071	NP_037487.2
K08185	NP_037488.2
K21800	NP_037489.1
K09228	NP_037491.2
K09228	NP_037492.2
K09228	NP_037493.3
K09228	NP_037494.2
K12404	NP_037497.1
K03349	NP_037498.1
K03351	NP_037499.2
K17398	NP_037501.2
K17400	NP_037501.2
K05444	NP_037503.2
K20030	NP_037505.1
K12200	NP_037506.2
K15682	NP_037509.3
K06553	NP_037510.1
K01276	NP_037511.2
K01285	NP_037511.2
K09228	NP_037512.3
K01306	NP_037513.2
K00728	NP_037514.2
K18441	NP_037517.1
K00419	NP_037519.2
K14003	NP_037520.1
K12385	NP_037521.2
K14461	NP_037521.2
K16725	NP_037521.2
K22144	NP_037522.1
K00315	NP_037523.2
K08875	NP_037524.1
K02427	NP_037525.1
K11849	NP_037528.3
K04511	NP_037529.3
K09228	NP_037530.2
K16779	NP_037533.2
K10224	NP_037534.5
K10226	NP_037534.5
K17608	NP_037535.2
K00939	NP_037542.1
K00681	NP_038265.2
K18592	NP_038265.2
K06541	NP_038459.1
K18727	NP_038461.2
K18752	NP_038461.2
K09332	NP_038463.2
K05750	NP_038464.1
K14004	NP_038465.1
K20050	NP_038465.1
K04523	NP_038466.2
K15411	NP_038467.2
K17905	NP_038469.1
K03364	NP_038470.1
K03375	NP_038471.2
K03376	NP_038471.2
K04523	NP_038472.2
K15687	NP_038474.2
K04591	NP_038475.2
K08443	NP_038475.2
K08444	NP_038475.2
K08445	NP_038475.2
K08446	NP_038475.2
K11655	NP_038476.2
K15224	NP_038477.2
K15224	NP_038478.2
K18261	NP_038479.1
K22125	NP_038479.1
K04257	NP_039226.1
K04257	NP_039227.1
K04257	NP_039228.1
K05022	NP_039234.1
K05024	NP_039234.1
K05025	NP_039234.1
K05026	NP_039234.1
K12404	NP_054720.1
K05410	NP_054721.1
K07211	NP_054721.1
K12815	NP_054722.2
K16493	NP_054723.1
K16495	NP_054723.1
K16496	NP_054723.1
K16497	NP_054723.1
K16498	NP_054723.1
K10502	NP_054726.1
K10514	NP_054726.1
K10163	NP_054728.2
K04698	NP_054730.1
K04699	NP_054730.1
K07847	NP_054731.2
K12854	NP_054733.2
K21797	NP_054735.3
K20398	NP_054736.1
K17407	NP_054737.1
K22190	NP_054739.3
K06085	NP_054740.3
K12584	NP_054745.1
K05737	NP_054749.2
K12487	NP_054749.2
K08746	NP_054750.1
K08748	NP_054750.1
K08749	NP_054750.1
K10753	NP_054753.1
K17941	NP_054754.1
K05048	NP_054756.2
K12946	NP_054760.4
K12192	NP_054762.2
K20050	NP_054764.2
K15980	NP_054768.2
K17423	NP_054769.1
K08220	NP_054772.1
K19677	NP_054774.2
K11883	NP_054781.1
K20520	NP_054782.2
K14317	NP_054783.2
K16219	NP_054783.2
K10870	NP_054784.2
K14971	NP_054790.2
K13120	NP_054796.1
K02871	NP_054797.2
K08798	NP_054797.2
K09210	NP_054798.1
K13411	NP_054799.4
K14307	NP_054808.1
K08230	NP_054815.2
K09228	NP_054825.2
K22040	NP_054831.2
K04843	NP_054858.2
K14440	NP_054859.2
K01515	NP_054861.2
K13987	NP_054861.2
K06745	NP_054862.1
K10500	NP_054874.3
K10515	NP_054874.3
K11423	NP_054878.5
K15687	NP_054879.3
K02881	NP_054880.2
K13362	NP_054883.3
K18161	NP_054884.1
K14618	NP_054885.1
K15146	NP_054885.1
K07579	NP_054887.2
K01112	NP_054891.2
K20776	NP_054892.2
K02876	NP_054894.1
K13960	NP_054895.1
K17796	NP_054896.2
K08519	NP_054897.4
K02890	NP_054899.2
K10419	NP_054902.1
K20368	NP_054903.1
K15544	NP_054907.1
K04833	NP_055006.1
K04834	NP_055006.1
K04836	NP_055006.1
K04837	NP_055006.1
K04838	NP_055006.1
K04840	NP_055006.1
K04841	NP_055006.1
K11824	NP_055018.2
K06455	NP_055022.2
K09432	NP_055024.2
K05189	NP_055026.1
K09296	NP_055027.1
K09294	NP_055028.3
K09300	NP_055028.3
K21951	NP_055028.3
K01092	NP_055029.1
K04527	NP_055030.1
K05086	NP_055030.1
K05087	NP_055030.1
K04913	NP_055032.1
K03952	NP_055037.1
K08066	NP_055038.2
K06002	NP_055039.1
K03456	NP_055040.2
K08830	NP_055041.1
K14158	NP_055042.1
K14382	NP_055042.1
K14383	NP_055042.1
K14384	NP_055042.1
K14389	NP_055042.1
K14391	NP_055042.1
K05038	NP_055043.2
K05039	NP_055044.1
K03107	NP_055045.2
K08510	NP_055046.1
K13504	NP_055046.1
K13504	NP_055047.2
K09273	NP_055048.1
K00649	NP_055051.1
K14958	NP_055053.1
K18529	NP_055053.1
K03754	NP_055054.1
K16682	NP_055055.1
K10703	NP_055056.3
K08618	NP_055058.2
K08619	NP_055058.2
K08628	NP_055058.2
K10611	NP_055060.1
K04600	NP_055061.1
K04601	NP_055061.1
K04602	NP_055061.1
K08018	NP_055062.1
K08020	NP_055062.1
K03868	NP_055063.1
K07295	NP_055064.1
K08546	NP_055064.1
K15105	NP_055066.1
K15101	NP_055067.1
K21052	NP_055069.1
K00739	NP_055071.2
K03766	NP_055071.2
K07819	NP_055071.2
K07970	NP_055071.2
K06563	NP_055072.3
K06795	NP_055072.3
K10057	NP_055072.3
K10059	NP_055072.3
K10060	NP_055072.3
K17513	NP_055072.3
K17514	NP_055072.3
K22244	NP_055072.3
K19529	NP_055073.2
K08134	NP_055077.2
K19606	NP_055077.2
K22459	NP_055077.2
K22460	NP_055077.2
K08955	NP_055078.1
K08863	NP_055079.3
K08614	NP_055080.2
K07988	NP_055081.1
K10436	NP_055083.1
K06834	NP_055084.3
K08609	NP_055084.3
K08610	NP_055084.3
K16069	NP_055084.3
K13868	NP_055085.1
K05170	NP_055086.1
K08622	NP_055087.2
K08626	NP_055087.2
K06053	NP_055091.2
K09485	NP_055093.2
K09489	NP_055093.2
K13199	NP_055097.2
K19019	NP_055097.2
K01528	NP_055098.1
K03679	NP_055100.2
K19932	NP_055101.2
K11510	NP_055103.3
K08574	NP_055104.2
K08575	NP_055104.2
K18405	NP_055105.2
K00639	NP_055106.1
K11453	NP_055107.3
K11455	NP_055107.3
K14010	NP_055109.1
K08576	NP_055111.1
K17725	NP_055112.2
K00767	NP_055113.3
K08871	NP_055114.1
K11721	NP_055114.1
K11722	NP_055114.1
K11724	NP_055114.1
K14568	NP_055114.1
K13280	NP_055115.1
K22068	NP_055116.1
K07342	NP_055117.1
K04560	NP_055118.1
K14843	NP_055118.1
K01710	NP_055120.1
K14415	NP_055121.1
K21290	NP_055123.2
K07843	NP_055125.2
K07844	NP_055125.2
K13238	NP_055125.2
K10800	NP_055126.1
K12646	NP_055129.2
K12647	NP_055129.2
K12504	NP_055132.2
K19410	NP_055134.2
K02608	NP_055136.1
K04256	NP_055137.2
K01796	NP_055139.4
K13882	NP_055140.1
K13886	NP_055140.1
K08803	NP_055141.2
K12616	NP_055144.3
K14019	NP_055145.3
K13869	NP_055146.1
K06781	NP_055148.3
K17767	NP_055151.3
K10598	NP_055152.1
K01613	NP_055153.1
K05164	NP_055154.3
K17885	NP_055156.1
K06087	NP_055158.1
K16674	NP_055159.2
K20360	NP_055161.1
K09228	NP_055162.1
K09229	NP_055162.1
K14480	NP_055164.1
K11823	NP_055166.1
K09364	NP_055167.2
K07913	NP_055168.2
K07914	NP_055168.2
K06563	NP_055173.1
K06721	NP_055173.1
K06795	NP_055173.1
K10057	NP_055173.1
K10058	NP_055173.1
K10059	NP_055173.1
K10060	NP_055173.1
K17513	NP_055173.1
K17514	NP_055173.1
K22244	NP_055173.1
K08127	NP_055174.1
K08128	NP_055174.1
K08029	NP_055175.2
K09347	NP_055175.2
K06756	NP_055176.1
K06759	NP_055176.1
K06760	NP_055176.1
K06761	NP_055176.1
K06762	NP_055176.1
K06763	NP_055176.1
K06764	NP_055176.1
K05605	NP_055177.2
K17592	NP_055178.3
K00134	NP_055179.1
K10705	NP_055179.1
K08879	NP_055180.1
K14538	NP_055181.3
K09375	NP_055183.2
K18024	NP_055184.2
K08831	NP_055185.2
K08832	NP_055185.2
K15409	NP_055185.2
K15978	NP_055186.3
K11980	NP_055187.1
K08438	NP_055188.1
K05749	NP_055191.2
K09522	NP_055192.1
K04934	NP_055194.1
K12465	NP_055195.1
K08739	NP_055196.2
K01537	NP_055197.2
K10506	NP_055198.1
K11538	NP_055199.1
K06473	NP_055200.1
K06549	NP_055200.1
K06738	NP_055200.1
K06739	NP_055200.1
K06740	NP_055200.1
K06748	NP_055200.1
K06749	NP_055200.1
K06750	NP_055200.1
K06771	NP_055200.1
K10079	NP_055200.1
K04991	NP_055201.2
K07362	NP_055202.1
K14774	NP_055203.4
K16913	NP_055204.4
K13221	NP_055205.2
K15979	NP_055205.2
K21433	NP_055206.2
K17597	NP_055208.2
K21890	NP_055209.2
K12229	NP_055210.2
K20184	NP_055211.2
K20875	NP_055212.2
K20876	NP_055212.2
K06562	NP_055213.2
K17356	NP_055214.1
K00418	NP_055217.2
K04869	NP_055220.1
K04939	NP_055222.3
K20302	NP_055223.1
K03130	NP_055224.1
K05657	NP_055224.1
K04507	NP_055227.1
K16194	NP_055228.2
K10498	NP_055230.2
K10132	NP_055232.1
K02165	NP_055235.1
K02165	NP_055236.1
K12670	NP_055238.1
K15185	NP_055238.1
K15194	NP_055238.1
K15195	NP_055238.1
K09546	NP_055239.1
K19626	NP_055240.2
K17920	NP_055241.1
K05136	NP_055247.4
K15014	NP_055249.1
K13720	NP_055250.2
K14709	NP_055252.2
K05486	NP_055253.2
K05487	NP_055253.2
K05485	NP_055254.2
K05484	NP_055255.1
K05487	NP_055255.1
K06473	NP_055256.1
K06549	NP_055256.1
K06738	NP_055256.1
K06739	NP_055256.1
K06740	NP_055256.1
K06748	NP_055256.1
K06749	NP_055256.1
K06750	NP_055256.1
K06771	NP_055256.1
K10079	NP_055256.1
K06473	NP_055257.2
K06549	NP_055257.2
K06738	NP_055257.2
K06739	NP_055257.2
K06740	NP_055257.2
K06748	NP_055257.2
K06749	NP_055257.2
K06750	NP_055257.2
K06771	NP_055257.2
K10079	NP_055257.2
K05490	NP_055258.1
K16571	NP_055259.2
K20314	NP_055262.1
K07525	NP_055263.2
K13744	NP_055263.2
K20684	NP_055263.2
K20687	NP_055263.2
